WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1732891455.950551  852822 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1732891455.954537  852822 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered

WARNING: You are welcome to use the default MSA server, however keep in mind that it's a
limited shared resource only capable of processing a few thousand MSAs per day. Please
submit jobs only from a single IP address. We reserve the right to limit access to the
server case-by-case when usage exceeds fair use. If you require more MSAs: You can 
precompute all MSAs with `colabfold_search` or host your own API and pass it to `--host-url`

2024-11-29 17:44:17,241 Running colabfold 1.5.5 (e2ca9e8f992cd65c986de5b64885d5572d8b8ad9)
2024-11-29 17:44:17,434 Running on GPU
2024-11-29 17:44:17,812 Found 5 citations for tools or databases
2024-11-29 17:44:17,812 Query 2/1: t234-scenario4_0 (length 914)
  0%|          | 0/600 [elapsed: 00:00 remaining: ?]SUBMIT:   0%|          | 0/600 [elapsed: 00:00 remaining: ?]COMPLETE:   0%|          | 0/600 [elapsed: 00:00 remaining: ?]COMPLETE: 100%|██████████| 600/600 [elapsed: 00:00 remaining: 00:00]COMPLETE: 100%|██████████| 600/600 [elapsed: 00:09 remaining: 00:00]
  0%|          | 0/600 [elapsed: 00:00 remaining: ?]SUBMIT:   0%|          | 0/600 [elapsed: 00:00 remaining: ?]COMPLETE:   0%|          | 0/600 [elapsed: 00:00 remaining: ?]COMPLETE: 100%|██████████| 600/600 [elapsed: 00:00 remaining: 00:00]COMPLETE: 100%|██████████| 600/600 [elapsed: 00:02 remaining: 00:00]
2024-11-29 17:44:32,996 Setting max_seq=252, max_extra_seq=1152
2024-11-29 17:45:57,194 alphafold2_multimer_v1_model_1_seed_000 recycle=0 pLDDT=81.1 pTM=0.479 ipTM=0.385
2024-11-29 17:46:38,938 alphafold2_multimer_v1_model_1_seed_000 recycle=1 pLDDT=83.4 pTM=0.479 ipTM=0.406 tol=3.61
2024-11-29 17:47:20,794 alphafold2_multimer_v1_model_1_seed_000 recycle=2 pLDDT=81.9 pTM=0.492 ipTM=0.41 tol=5.06
2024-11-29 17:48:02,689 alphafold2_multimer_v1_model_1_seed_000 recycle=3 pLDDT=84.1 pTM=0.495 ipTM=0.412 tol=5.17
2024-11-29 17:48:02,690 alphafold2_multimer_v1_model_1_seed_000 took 206.4s (3 recycles)
2024-11-29 17:48:45,376 alphafold2_multimer_v1_model_2_seed_000 recycle=0 pLDDT=80.8 pTM=0.49 ipTM=0.391
2024-11-29 17:49:27,267 alphafold2_multimer_v1_model_2_seed_000 recycle=1 pLDDT=82.2 pTM=0.5 ipTM=0.402 tol=2.79
2024-11-29 17:50:09,100 alphafold2_multimer_v1_model_2_seed_000 recycle=2 pLDDT=82.8 pTM=0.517 ipTM=0.422 tol=1.2
2024-11-29 17:50:50,957 alphafold2_multimer_v1_model_2_seed_000 recycle=3 pLDDT=83.3 pTM=0.523 ipTM=0.417 tol=0.932
2024-11-29 17:50:50,957 alphafold2_multimer_v1_model_2_seed_000 took 167.4s (3 recycles)
2024-11-29 17:51:33,608 alphafold2_multimer_v1_model_3_seed_000 recycle=0 pLDDT=78.8 pTM=0.494 ipTM=0.398
2024-11-29 17:52:15,507 alphafold2_multimer_v1_model_3_seed_000 recycle=1 pLDDT=81 pTM=0.514 ipTM=0.419 tol=2.17
2024-11-29 17:52:57,330 alphafold2_multimer_v1_model_3_seed_000 recycle=2 pLDDT=81.6 pTM=0.534 ipTM=0.435 tol=1.46
2024-11-29 17:53:39,185 alphafold2_multimer_v1_model_3_seed_000 recycle=3 pLDDT=82.1 pTM=0.545 ipTM=0.445 tol=0.974
2024-11-29 17:53:39,186 alphafold2_multimer_v1_model_3_seed_000 took 167.4s (3 recycles)
2024-11-29 17:54:21,857 alphafold2_multimer_v1_model_4_seed_000 recycle=0 pLDDT=83.8 pTM=0.511 ipTM=0.404
2024-11-29 17:55:03,712 alphafold2_multimer_v1_model_4_seed_000 recycle=1 pLDDT=84.9 pTM=0.498 ipTM=0.418 tol=2.57
2024-11-29 17:55:45,527 alphafold2_multimer_v1_model_4_seed_000 recycle=2 pLDDT=85.2 pTM=0.519 ipTM=0.417 tol=1.64
2024-11-29 17:56:27,394 alphafold2_multimer_v1_model_4_seed_000 recycle=3 pLDDT=85.7 pTM=0.536 ipTM=0.438 tol=1.29
2024-11-29 17:56:27,394 alphafold2_multimer_v1_model_4_seed_000 took 167.3s (3 recycles)
2024-11-29 17:57:10,078 alphafold2_multimer_v1_model_5_seed_000 recycle=0 pLDDT=84 pTM=0.512 ipTM=0.411
2024-11-29 17:57:52,000 alphafold2_multimer_v1_model_5_seed_000 recycle=1 pLDDT=85.6 pTM=0.513 ipTM=0.438 tol=3.6
