WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1732914398.906549  866553 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1732914398.910513  866553 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered

WARNING: You are welcome to use the default MSA server, however keep in mind that it's a
limited shared resource only capable of processing a few thousand MSAs per day. Please
submit jobs only from a single IP address. We reserve the right to limit access to the
server case-by-case when usage exceeds fair use. If you require more MSAs: You can 
precompute all MSAs with `colabfold_search` or host your own API and pass it to `--host-url`

2024-11-30 00:06:40,194 Running colabfold 1.5.5 (e2ca9e8f992cd65c986de5b64885d5572d8b8ad9)
2024-11-30 00:06:40,364 Running on GPU
2024-11-30 00:06:40,738 Found 5 citations for tools or databases
2024-11-30 00:06:40,738 Query 2/1: t234-scenario10_0 (length 914)
  0%|          | 0/600 [elapsed: 00:00 remaining: ?]SUBMIT:   0%|          | 0/600 [elapsed: 00:00 remaining: ?]COMPLETE:   0%|          | 0/600 [elapsed: 00:00 remaining: ?]COMPLETE: 100%|██████████| 600/600 [elapsed: 00:00 remaining: 00:00]COMPLETE: 100%|██████████| 600/600 [elapsed: 00:07 remaining: 00:00]
  0%|          | 0/600 [elapsed: 00:00 remaining: ?]SUBMIT:   0%|          | 0/600 [elapsed: 00:00 remaining: ?]COMPLETE:   0%|          | 0/600 [elapsed: 00:00 remaining: ?]COMPLETE: 100%|██████████| 600/600 [elapsed: 00:00 remaining: 00:00]COMPLETE: 100%|██████████| 600/600 [elapsed: 00:02 remaining: 00:00]
2024-11-30 00:06:53,721 Setting max_seq=252, max_extra_seq=1152
2024-11-30 00:08:17,416 alphafold2_multimer_v3_model_1_seed_000 recycle=0 pLDDT=81.2 pTM=0.607 ipTM=0.557
2024-11-30 00:08:58,657 alphafold2_multimer_v3_model_1_seed_000 recycle=1 pLDDT=83.2 pTM=0.521 ipTM=0.467 tol=5.55
2024-11-30 00:09:40,130 alphafold2_multimer_v3_model_1_seed_000 recycle=2 pLDDT=83.4 pTM=0.509 ipTM=0.453 tol=3.61
2024-11-30 00:10:21,698 alphafold2_multimer_v3_model_1_seed_000 recycle=3 pLDDT=83.7 pTM=0.516 ipTM=0.461 tol=2.33
2024-11-30 00:11:03,295 alphafold2_multimer_v3_model_1_seed_000 recycle=4 pLDDT=83.6 pTM=0.498 ipTM=0.441 tol=2.93
2024-11-30 00:11:44,909 alphafold2_multimer_v3_model_1_seed_000 recycle=5 pLDDT=83.4 pTM=0.493 ipTM=0.436 tol=1.62
2024-11-30 00:12:26,483 alphafold2_multimer_v3_model_1_seed_000 recycle=6 pLDDT=83.4 pTM=0.496 ipTM=0.439 tol=1.53
2024-11-30 00:13:08,014 alphafold2_multimer_v3_model_1_seed_000 recycle=7 pLDDT=83.8 pTM=0.489 ipTM=0.431 tol=2.38
2024-11-30 00:13:49,567 alphafold2_multimer_v3_model_1_seed_000 recycle=8 pLDDT=83.4 pTM=0.49 ipTM=0.428 tol=2.44
2024-11-30 00:14:31,042 alphafold2_multimer_v3_model_1_seed_000 recycle=9 pLDDT=83.2 pTM=0.492 ipTM=0.426 tol=5.31
2024-11-30 00:15:12,553 alphafold2_multimer_v3_model_1_seed_000 recycle=10 pLDDT=83.4 pTM=0.478 ipTM=0.412 tol=2.91
2024-11-30 00:15:54,043 alphafold2_multimer_v3_model_1_seed_000 recycle=11 pLDDT=83.1 pTM=0.483 ipTM=0.408 tol=2.69
2024-11-30 00:16:35,553 alphafold2_multimer_v3_model_1_seed_000 recycle=12 pLDDT=83.4 pTM=0.477 ipTM=0.411 tol=2.28
2024-11-30 00:17:17,058 alphafold2_multimer_v3_model_1_seed_000 recycle=13 pLDDT=83 pTM=0.469 ipTM=0.409 tol=2.42
2024-11-30 00:17:58,585 alphafold2_multimer_v3_model_1_seed_000 recycle=14 pLDDT=83.1 pTM=0.474 ipTM=0.407 tol=5.24
2024-11-30 00:18:40,123 alphafold2_multimer_v3_model_1_seed_000 recycle=15 pLDDT=83.1 pTM=0.475 ipTM=0.403 tol=3.62
2024-11-30 00:19:21,607 alphafold2_multimer_v3_model_1_seed_000 recycle=16 pLDDT=83.2 pTM=0.475 ipTM=0.41 tol=3.46
2024-11-30 00:20:03,070 alphafold2_multimer_v3_model_1_seed_000 recycle=17 pLDDT=83.4 pTM=0.497 ipTM=0.424 tol=2.64
2024-11-30 00:20:44,551 alphafold2_multimer_v3_model_1_seed_000 recycle=18 pLDDT=83.6 pTM=0.492 ipTM=0.423 tol=1.82
2024-11-30 00:21:26,010 alphafold2_multimer_v3_model_1_seed_000 recycle=19 pLDDT=83.8 pTM=0.49 ipTM=0.423 tol=2.17
